CMDLINE /usr/bin/python3 test_model.py
MEM 1.113281 1664197533.5881
MEM 25.421875 1664197533.6884
MEM 47.097656 1664197533.7887
MEM 62.695312 1664197533.8891
MEM 81.664062 1664197533.9894
MEM 95.859375 1664197534.0898
MEM 107.828125 1664197534.1901
MEM 115.210938 1664197534.2904
MEM 117.660156 1664197534.3908
MEM 118.175781 1664197534.4911
MEM 120.191406 1664197534.5914
MEM 120.953125 1664197534.6917
MEM 120.953125 1664197534.7921
MEM 121.722656 1664197534.8924
MEM 122.492188 1664197534.9928
MEM 127.097656 1664197535.0931
MEM 127.578125 1664197535.1934
MEM 128.445312 1664197535.2937
MEM 130.074219 1664197535.3941
MEM 130.718750 1664197535.4944
MEM 130.976562 1664197535.5947
MEM 133.710938 1664197535.6950
MEM 133.710938 1664197535.7953
MEM 144.812500 1664197535.8957
MEM 146.476562 1664197535.9960
MEM 146.687500 1664197536.0964
MEM 149.910156 1664197536.1966
MEM 149.910156 1664197536.2970
MEM 149.910156 1664197536.3973
MEM 149.910156 1664197536.4977
MEM 150.136719 1664197536.5982
MEM 150.136719 1664197536.6985
MEM 150.136719 1664197536.7989
MEM 150.136719 1664197536.8992
MEM 150.136719 1664197536.9996
MEM 150.136719 1664197537.1000
MEM 150.136719 1664197537.2005
MEM 150.136719 1664197537.3012
MEM 150.136719 1664197537.4020
MEM 150.136719 1664197537.5026
MEM 150.230469 1664197537.6031
MEM 147.484375 1664197537.7035
